hostname,ip
JKB-1105-CP-1,10.6.82.80
JKB-1106-CP-1,10.66.82.205
JKB-1107-CP-1,10.66.82.189
JKB-1108-CP-1,10.6.82.100
JKB-1110-CP-1,10.66.12.210
JKB-1115-CP-1,10.6.82.140
JKB-1117-CP-1,10.6.82.230
JKB-1119-CP-1,10.2.80.239
JKB-1121-CP-1,10.66.82.225
JKB-1123-CP-1,10.66.82.221
JKB-1125-CP-1,10.6.82.168
JKB-1126-CP-1,10.6.82.60
JKB-1127-CP-1,10.6.82.68
JKB-1129-CP-1,10.2.80.242
JKB-2001A-CP-1,10.66.12.229
JKB-2001K-CP-1,10.66.12.233
JKB-2002-CP-1,10.6.82.104
JKB-2004-CP-1,10.6.82.108
JKB-2009-CP-1,10.6.82.148
JKB-2011-CP-1,10.66.82.193
JKB-2014F-CP-1,10.66.82.237
JKB-2104-CP-1,10.6.82.226
JKB-2105-CP-1,10.2.84.222
JKB-2107-CP-1,10.6.82.24
JKB-2110-CP-1,10.66.82.197
JKB-2111-CP-1,10.6.82.28
JKB-2112-CP-1,10.66.82.213
JKB-2113-CP-1,10.6.82.32
JKB-2114-CP-1,10.6.82.144
JKB-2119-CP-1,10.66.82.209
JKB-3012-CP-1,10.66.82.217
JKB-3016-CP-1,10.6.82.234
JKB-3024-CP-1,10.6.82.132
JKB-3104-CP-1,10.6.82.36
JKB-3106-CP-1,10.6.82.40
JKB-3108-CP-1,10.6.82.44
JKB-3111-CP-1,10.2.82.250
JKB-3112-CP-1,10.6.82.48
JKB-3115-CP-1,10.6.82.188
JKB-3122B-CP-1,10.6.82.52
JKB-4035-CP-1,10.66.37.210
JKB-4051-CP-1,10.6.82.128
JKB-4057-CP-1,10.6.82.124
JRCB-205-CP-1,10.6.40.135
JRCB-206-CP-1,10.6.42.222
JRCB-208-CP-1,10.6.42.226
JRCB-267-CP-1,10.6.42.214
JRCB-275-CP-1,10.6.42.210
JRCB-276-CP-1,10.6.42.206
JRCB-296-CP-1,10.6.42.218
JRCB-303-CP-1,10.6.42.12
JRCB-306-CP-1,10.6.42.16
JRCB-314-CP-1,10.6.42.20
JRCB-320-CP-1,10.6.42.24
JRCB-459B-CP-1,10.66.42.249
JRCB-472-CP-1,10.6.42.230
JSB-103-CP-1,10.26.45.184
JSB-106-CP-1,10.26.45.160
JSB-107-CP-1,10.26.45.188
JSB-110-CP-1,10.26.45.164
JSB-114-CP-1,10.26.45.168
JSB-164-CP-1,10.66.32.117
JSB-170-CP-1,10.26.45.172
JSB-171-CP-1,10.26.45.176
JSB-174-CP-1,10.26.45.180
JSB-175-CP-1,10.26.45.140
JSB-178-CP-1,10.26.45.144
JSB-179-CP-1,10.26.45.148
JSB-182-CP-1,10.26.45.152
JSB-202-CP-1,10.26.45.156
JSB-203-CP-1,10.26.45.192
JSB-213-CP-1,10.26.45.196
JSB-242-Auditorium,10.26.45.225
JSB-382-CP-1,10.66.32.121
LDSP-113-CP-1,10.26.68.12
LDSP-117-CP-1,10.26.68.16
LDSP-307-CP-1,10.26.68.20
LSB-2004-CP-1,10.36.35.185
LSB-2006-CP-1,10.36.35.180
LSB-2015-CP-1,10.36.35.32
LSB-2017-CP-1,10.36.35.28
LSB-2018-CP-1,10.36.35.48
LSB-2019-CP-1,10.36.35.24
LSB-2021-CP-1,10.36.35.20
LSB-2022-CP-1,10.36.35.44
LSB-2037-CP-1,10.36.35.56
LSB-2038-CP-1,10.36.35.160
LSB-2039-CP-1,10.36.35.136
LSB-2040-CP-1,10.36.35.76
LSB-2043-CP-1,10.36.35.52
LSB-2044-CP-1,10.36.35.72
LSB-2057-CP-1,10.36.35.88
LSB-2061-CP-1,10.36.35.84
LSB-2102-CP-1,10.36.35.190
LSB-2111-CP-1,10.36.35.36
LSB-2113-CP-1,10.36.35.40
LSB-2118-CP-1,10.36.35.60
LSB-2129-CP-1,10.36.35.64
LSB-2133-CP-1,10.36.35.68
LSB-2142-CP-1,10.36.35.165
LSB-2143-CP-1,10.36.35.96
LSB-2144-CP-1,10.36.35.170
LSB-2145-CP-1,10.36.35.100
LSB-2146-CP-1,10.36.35.175
LSB-3031-CP-1,10.36.35.128
LSB-3119-CP-1,10.36.35.132
LSB-4135-CP-1,10.36.35.140
LSB-5001-CP-1,10.36.35.152
LSB-5015-CP-1,10.36.35.148
LSB-5141-CP-1,10.36.35.156
LVES-W301,10.22.74.125
MARB-108-CP-1,10.26.45.64
MARB-109-CP-1,10.26.45.68
MARB-120-CP-1,10.26.45.80
MARB-121-CP-1,10.26.45.106
MARB-122-CP-1,10.26.45.72
MARB-123-CP-1,10.26.45.102
MARB-126-CP-1,10.26.45.98
MARB-127-CP-1,10.26.45.94
MARB-128-CP-1,10.26.45.76
MARB-129-CP-1,10.26.45.84
MARB-130-CP-1,10.26.45.32
MARB-131-CP-1,10.26.45.16
MARB-206-CP-1,10.26.45.36
MARB-207-CP-1,10.26.45.90
MARB-221-CP-1,10.26.45.44
MARB-222-CP-1,10.26.45.40
MARB-B105-CP-1,10.26.45.48
MARB-B106-CP-1,10.26.45.56
MARB-B107-CP-1,10.26.45.20
MARB-B112-CP-1,10.26.45.12
MARB-B113-CP-1,10.26.45.24
MARB-B114-CP-1,10.26.45.28
MARB-B119-CP-1,10.26.45.52
MARB-B124-CP-1,10.26.45.60
MB-256-Test,10.22.75.252
MCKB-115-CP-1,10.6.103.24
MCKB-160-CP-1,10.6.103.28
MCKB-166-CP-1,10.6.103.12
MCKB-168-CP-1,10.6.103.32
MCKB-185-CP-1,10.6.103.36
MCKB-186-CP-1,10.66.103.229
MCKB-220-CP-1,10.6.103.16
MCKB-221-CP-1,10.66.103.233
MCKB-230-CP-1,,10.66.11.210
MCKB-238-CP-1,10.6.103.20
MCKB-276-CP-1,10.66.103.221
MCKB-277-CP-1,10.66.103.237
MCKB-280-CP-1,10.66.103.241
MCKB-283-CP-1,10.66.103.245
MCKB-319-CP-1,10.66.103.237
MCKB-341-CP-1,,10.66.10.210
MCKB-343-CP-1,10.66.19.225
MCKB-359-CP-1,10.6.103.40
MLBM-1007-CP-1,10.26.24.24
MLBM-1104-CP-1,10.26.24.12
MLBM-2002-CP-1,10.26.24.28
MLBM-2015-CP-1,10.26.24.16
MLBM-2021-CP-1,10.26.24.20
MOA-260-CP-1,10.26.47.12
MOA-386-CP-1,10.26.47.110
MSRB-202-CP-1,10.26.41.16
MSRB-211-CP-1,10.26.41.28
MSRB-241-CP-1,10.66.41.57
MSRB-250-CP-1,10.26.41.20
MSRB-305-CP-1,10.66.164.210
MSRB-321-CP-1,10.26.41.12
RB-106-CP-1,10.6.70.12
RB-1104-CP-1,10.6.70.89
RB-1114-CP-1,10.2.69.214
RB-1129-CP-1,10.6.70.20
RB-1137N-CP-1,10.6.70.24
RB-1137S-CP-1,10.6.70.28
RB-126-CP-1,10.2.68.250
RB-158-CP-1,10.6.70.40
RB-162-CP-1,10.6.70.105
RB-164-CP-1,10.6.70.109
RB-166-CP-1,10.6.70.16
RB-173-CP-1,10.66.70.101
RB-177-CP-1,10.66.7.121
RB-185-CP-1,10.6.70.113
RB-187-CP-1,10.6.70.97
RB-202-CP-1,10.66.64.190
RB-204-CP-1,10.6.70.52
RB-206-CP-1,10.6.70.36
RB-210-CP-1,10.2.69.231
RB-2206E-CP-1,10.66.70.105
RB-2206W-CP-1,10.66.7.109
RB-231-CP-1,10.6.70.32
RB-235-CP-1,10.6.70.101
RB-257-CP-1,10.6.70.93
RB-267-CP-1,10.6.70.117
RB-270-CP-1,10.2.70.247
RB-271-CP-1,10.6.70.48
RB-278-CP-1,10.2.70.249
RB-283-CP-1,10.66.70.89
ROTC-241-CP-1,10.66.37.57
ROTC-250-CP-1,10.26.47.200
ROTC-261-CP-1,10.66.37.53
SAB-229-CP-1,10.2.71.251
SAB-342-CP-1,10.2.71.250
SAB-351-CP-1,10.2.71.249
SFH-191-CP-1,10.6.66.28
SFH-193-CP-1,10.6.66.48
SFH-201-CP-1,10.6.66.12
SFH-206E-CP-1,10.6.66.40
SFH-249K-CP-1,10.6.66.24
SFH-249L-CP-1,10.6.66.36
SFH-249M-CP-1,10.6.66.32
SFH-255-CP-1,10.6.66.102
SFH-277-CP-1,10.6.66.20
SFH-285-CP-1,10.6.66.16
SFH-36-CP-1,10.2.66.125
SFH-37-CP-1,10.2.66.124
SFH-6E-CP-1,10.6.66.44
SLC-101-CP-1,10.6.32.139
SLC-103-CP-1,10.6.32.159
SLC-107A,10.2.33.248
SLC-303-CP-1,10.6.32.213
SLC-306-CP-1,10.6.32.173
SLC-307-CP-1,10.6.32.209
SLC-312-CP-1,10.6.32.177
SLC-313-CP-1,10.6.32.185
SLC-315-CP-1,10.6.32.163
SLC-316-CP-1,10.6.32.189
SLC-318-CP-1,10.6.32.181
SLC-345-CP-1,10.6.32.167
SLC-352-CP-1,10.6.32.233
SLC-401A,10.2.33.88
SLC-402-CP-1,10.6.32.193
SLC-403-CP-1,10.6.32.245
SLC-406-CP-1,10.6.32.249
SLC-407-CP-1,10.6.32.197
SLC-410-CP-1,10.6.32.201
SLC-411-CP-1,10.6.32.143
SLC-413-CP-1,10.6.32.147
SLC-415-CP-1,10.6.32.151
SLC-417-CP-1,10.6.32.155
SLC-420-CP-1,10.6.32.135
SLC-421-CP-1,10.6.32.237
SLC-422-CP-1,10.6.32.217
SLC-423-CP-1,10.6.32.221
SLC-424-CP-1,10.6.32.225
SLC-425-CP-1,10.6.32.131
SLC-426-CP-1,10.6.32.229
SLC-427-CP-1,10.6.32.205
SLC-452-CP-1,10.6.32.241
SNLB-120-CP-1,10.2.121.241
SNLB-122-CP-1,10.6.121.12
SNLB-165-CP-1,,10.66.27.117
SNLB-170-CP-1,10.6.121.68
SNLB-219-CP-1,,10.66.27.120
SNLB-224-CP-1,10.6.121.52
SNLB-230R-CP-1,,10.6.121.84
SNLB-235A-CP-1,10.6.121.16
SNLB-290J-CP-1,10.6.121.72
SWKT-100-CP-1,10.2.73.239
SWKT-102-CP-1,10.6.74.204
SWKT-103-CP-1,10.66.74.232
SWKT-1043-CP-1,10.6.74.32
SWKT-112-CP-1,10.6.74.208
SWKT-1145-CP-1,,10.66.8.237
SWKT-230-CP-1,10.6.74.222
SWKT-235-CP-1,10.6.74.48
SWKT-240-CP-1,10.6.74.212
SWKT-245-CP-1,10.66.74.241
SWKT-250-CP-1,10.6.74.234
SWKT-262-CP-1,10.6.74.44
SWKT-270-CP-1,10.6.74.226
SWKT-280-CP-1,10.6.74.238
SWKT-285-CP-1,10.2.74.240
SWKT-325-CP-1,10.6.74.40
SWKT-460-CP-1,10.6.74.12
SWKT-462-CP-1,10.6.74.16
SWKT-478-CP-1,10.6.74.28
SWKT-490-CP-1,10.6.74.24
SWKT-500C-CP-1,10.6.74.230
SWKT-620-CP-1,10.6.74.36
SWKT-640-CP-1,10.2.76.243
SWKT-660-CP-1,10.6.74.216
SWKT-793-CP-1,10.6.74.20
SWKT-948-CP-1,10.6.74.200
TLRB-125-CP-1,10.26.17.16
TLRB-171-CP-1,10.22.24.249
TLRB-177-CP-1,10.26.17.220
TLRB-227-CP-1,10.26.17.12
TLRB-279-CP-1,10.26.17.20
TLRB-295-CP-1,10.22.25.124
TMCB-104-CP-1,10.6.90.41
TMCB-108-CP-1,10.2.88.220
TMCB-111-CP-1,10.6.90.49
TMCB-112-CP-1,10.6.90.24
TMCB-116-CP-1,,10.66.68.190
TMCB-1170-CP-1,10.6.90.20
TMCB-120-CP-1,10.6.90.45
TMCB-134-CP-1,10.6.90.66
TMCB-135-CP-1,10.6.90.62
TMCB-136-CP-1,10.6.90.58
TMCB-149-CP-1,10.66.68.220
TMCB-154-CP-1,10.6.90.70
TMCB-173-CP-1,10.6.90.74
TMCB-186-CP-1,10.6.90.78
TMCB-197-CP-1,10.66.68.210
TMCB-203-CP-1,10.6.90.53
TMCB-225-CP-1,10.2.89.243
TMCB-235-CP-1,,10.66.68.200
TMCB-254-CP-1,10.6.90.16
TMCB-299-CP-1,10.2.89.250
TMCB-301-CP-1,10.2.90.125
TMCB-3350-CP-1,10.6.90.12
TMCB-U110,10.22.58.125
TMCB-U131-CP-1,10.26.50.121
TNRB-110-CP-1,10.26.90.32
TNRB-120-CP-1,10.26.90.20
TNRB-130-CP-1,10.26.90.28
TNRB-151-CP-1,10.26.90.72
TNRB-164-CP-1,10.26.90.56
TNRB-170-CP-1,10.26.90.52
TNRB-174-CP-1,10.26.90.24
TNRB-180-CP-1,10.22.88.251
TNRB-184-CP-1,10.26.90.122
TNRB-210-CP-1,10.26.90.40
TNRB-220-CP-1,10.26.90.76
TNRB-230-CP-1,10.26.90.36
TNRB-240-CP-1,10.22.88.252
TNRB-251-CP-1,10.26.90.60
TNRB-260-CP-1,10.26.90.64
TNRB-270-CP-1,10.26.90.126
TNRB-280-CP-1,10.26.90.16
TNRB-284-CP-1,10.26.90.48
TNRB-290-CP-1,,10.66.90.220
TNRB-324-CP-1,10.66.90.245
TNRB-360E-CP-1,,10.66.90.235
TNRB-374-CP-1,10.26.90.134
TNRB-447-CP-1,10.66.53.210
TNRB-484-CP-1,10.26.90.12
TNRB-710-CP-1,10.26.90.68
TNRB-750-CP-1,10.26.90.44
TNRB-775-CP-1,10.26.90.110
TNRB-W108-CP-1,10.66.90.241
TNRB-W110-CP-1,10.66.90.237
TNRB-W118-CP-1,10.66.48.210
TNRB-W122-CP-1,10.66.48.190
TNRB-W139,10.22.92.120
TNRB-W208-CP-1,10.26.90.84
TNRB-W210-CP-1,10.26.90.92
TNRB-W237,10.22.92.251
TNRB-W240-CP-1,10.26.90.80
TNRB-W241,10.22.92.249
TNRB-W242-CP-1,10.26.90.96
TNRB-W308-CP-1,10.26.90.142
TNRB-W310-CP-1,10.26.90.146
TNRB-W328-CP-1,10.26.90.114
TNRB-W352,10.22.93.122
TNRB-W408-CP-1,10.26.90.100
TNRB-W410-CP-1,10.26.90.105
TNRB-W459,10.22.93.252
TNRB-W461,10.22.93.251
UPB-269-CP-1,10.2.9.253
UPC-229-CP-1,10.26.55.144
UPC-263-CP-1,10.26.55.140
UPC-313-CP-1,10.26.55.136
WSC-1510-CP-1,10.66.23.241
WSC-2034-CP-1,10.26.114.240
WSC-2050-CP-1,10.66.114.208
WSC-2420-CP-1,10.66.23.245
WSC-3211-CP-1,10.66.114.221
WSC-3220-CP-1,10.66.114.237
WSC-3222-CP-1,10.66.114.233
WSC-3224-CP-1,10.66.114.229
WSC-3228-CP-1,10.66.114.225
WSC-3280-CP-1,10.66.114.217
WSC-3290-CP-1,10.66.114.213
WSC-3380-CP-1,10.26.114.236
WSC-3530-CP-1,10.66.23.249
WSC-4453-CP-1,10.26.114.12
WSC-5519-CP-1,10.22.118.253
WSC-5528-CP-1,10.22.118.252
